cell,feature,group,perm_importance
8_SMOTETomek_aggressive,FiO2_mean,SOFA_other(MAP+resp),0.00025094932383460945
8_SMOTETomek_aggressive,FiO2_min,SOFA_other(MAP+resp),0.001755987918618851
8_SMOTETomek_aggressive,FiO2_max,SOFA_other(MAP+resp),-0.00064872625740654
8_SMOTETomek_aggressive,FiO2_std,SOFA_other(MAP+resp),0.0008777231507831218
8_SMOTETomek_aggressive,pH_mean,non_SOFA,-0.0005656101079879516
8_SMOTETomek_aggressive,pH_min,non_SOFA,-0.0001296627765744407
8_SMOTETomek_aggressive,pH_max,non_SOFA,-0.0006289833467188532
8_SMOTETomek_aggressive,pH_std,non_SOFA,-0.00031623170046529703
8_SMOTETomek_aggressive,PaCO2_mean,non_SOFA,-9.498004829536222e-05
8_SMOTETomek_aggressive,PaCO2_min,non_SOFA,-0.0008332069071847858
8_SMOTETomek_aggressive,PaCO2_max,non_SOFA,-8.027028053894102e-05
8_SMOTETomek_aggressive,PaCO2_std,non_SOFA,-0.0004954512896977569
8_SMOTETomek_aggressive,SaO2_mean,SOFA_other(MAP+resp),0.00037193886471512116
8_SMOTETomek_aggressive,SaO2_min,SOFA_other(MAP+resp),0.0003153891072219084
8_SMOTETomek_aggressive,SaO2_max,SOFA_other(MAP+resp),0.0001335705399390319
8_SMOTETomek_aggressive,SaO2_std,SOFA_other(MAP+resp),-4.317472608156292e-06
8_SMOTETomek_aggressive,AST_mean,non_SOFA,-0.0008195517499823945
8_SMOTETomek_aggressive,AST_min,non_SOFA,-0.0004785354337945247
8_SMOTETomek_aggressive,AST_max,non_SOFA,-0.0008762318254396273
8_SMOTETomek_aggressive,AST_std,non_SOFA,-3.521697880930486e-05
8_SMOTETomek_aggressive,BUN_mean,non_SOFA,0.0006916500321667241
8_SMOTETomek_aggressive,BUN_min,non_SOFA,0.0005399897956020694
8_SMOTETomek_aggressive,BUN_max,non_SOFA,-0.0002681368206930268
8_SMOTETomek_aggressive,BUN_std,non_SOFA,-3.067383030938009e-05
8_SMOTETomek_aggressive,Alkalinephos_mean,non_SOFA,-0.0010099192271532998
8_SMOTETomek_aggressive,Alkalinephos_min,non_SOFA,-0.0009976563791401437
8_SMOTETomek_aggressive,Alkalinephos_max,non_SOFA,-0.0009180434596824993
8_SMOTETomek_aggressive,Alkalinephos_std,non_SOFA,-1.2495396756961874e-05
8_SMOTETomek_aggressive,Calcium_mean,non_SOFA,-0.00018074746850117452
8_SMOTETomek_aggressive,Calcium_min,non_SOFA,-0.00026117405781973525
8_SMOTETomek_aggressive,Calcium_max,non_SOFA,0.0006582505369646496
8_SMOTETomek_aggressive,Calcium_std,non_SOFA,6.890303469210824e-05
8_SMOTETomek_aggressive,Chloride_mean,non_SOFA,0.00022697583855301183
8_SMOTETomek_aggressive,Chloride_min,non_SOFA,-0.000356601386078742
8_SMOTETomek_aggressive,Chloride_max,non_SOFA,0.0006736273626553213
8_SMOTETomek_aggressive,Chloride_std,non_SOFA,4.368653664903466e-05
8_SMOTETomek_aggressive,Creatinine_mean,SOFA_lab_core,0.0006741477141634034
8_SMOTETomek_aggressive,Creatinine_min,SOFA_lab_core,-0.00046395518577246886
8_SMOTETomek_aggressive,Creatinine_max,SOFA_lab_core,-0.0009033396867243581
8_SMOTETomek_aggressive,Creatinine_std,SOFA_lab_core,-1.052875161616784e-06
8_SMOTETomek_aggressive,Bilirubin_direct_mean,non_SOFA,-7.431928552558143e-05
8_SMOTETomek_aggressive,Bilirubin_direct_min,non_SOFA,-8.183267384009318e-05
8_SMOTETomek_aggressive,Bilirubin_direct_max,non_SOFA,-0.00013862009412210496
8_SMOTETomek_aggressive,Bilirubin_direct_std,non_SOFA,0.0
8_SMOTETomek_aggressive,Glucose_mean,non_SOFA,0.002034168318451335
8_SMOTETomek_aggressive,Glucose_min,non_SOFA,0.0016212729605294685
8_SMOTETomek_aggressive,Glucose_max,non_SOFA,0.0023982594770629085
8_SMOTETomek_aggressive,Glucose_std,non_SOFA,0.0005670213226198651
8_SMOTETomek_aggressive,Lactate_mean,non_SOFA,-0.0009800012364233335
8_SMOTETomek_aggressive,Lactate_min,non_SOFA,-0.00014184793667142425
8_SMOTETomek_aggressive,Lactate_max,non_SOFA,-0.0008948753098032891
8_SMOTETomek_aggressive,Lactate_std,non_SOFA,-0.0005644369660295856
8_SMOTETomek_aggressive,Magnesium_mean,non_SOFA,-4.966354717728106e-06
8_SMOTETomek_aggressive,Magnesium_min,non_SOFA,-0.0010101570645297763
8_SMOTETomek_aggressive,Magnesium_max,non_SOFA,-0.0007372285919638566
8_SMOTETomek_aggressive,Magnesium_std,non_SOFA,0.00013018973968203506
8_SMOTETomek_aggressive,Phosphate_mean,non_SOFA,-0.00022212760094538208
8_SMOTETomek_aggressive,Phosphate_min,non_SOFA,-0.0002195695544825238
8_SMOTETomek_aggressive,Phosphate_max,non_SOFA,0.0005657290473362775
8_SMOTETomek_aggressive,Phosphate_std,non_SOFA,-7.542511418869302e-05
8_SMOTETomek_aggressive,Potassium_mean,non_SOFA,5.460127308362095e-05
8_SMOTETomek_aggressive,Potassium_min,non_SOFA,0.0019804533404093106
8_SMOTETomek_aggressive,Potassium_max,non_SOFA,-0.0001572932067670174
8_SMOTETomek_aggressive,Potassium_std,non_SOFA,-0.0003586258436114265
8_SMOTETomek_aggressive,Bilirubin_total_mean,SOFA_lab_core,0.0003145742810500174
8_SMOTETomek_aggressive,Bilirubin_total_min,SOFA_lab_core,0.0001106662616839782
8_SMOTETomek_aggressive,Bilirubin_total_max,SOFA_lab_core,-3.603776324265229e-05
8_SMOTETomek_aggressive,Bilirubin_total_std,SOFA_lab_core,9.911128577844152e-08
8_SMOTETomek_aggressive,TroponinI_mean,non_SOFA,-0.00011255910960055182
8_SMOTETomek_aggressive,TroponinI_min,non_SOFA,-0.000655879189884162
8_SMOTETomek_aggressive,TroponinI_max,non_SOFA,-0.0001367556294495309
8_SMOTETomek_aggressive,TroponinI_std,non_SOFA,1.9820401316539283e-06
8_SMOTETomek_aggressive,Hct_mean,non_SOFA,0.00033630661986802093
8_SMOTETomek_aggressive,Hct_min,non_SOFA,-0.00021002146330399983
8_SMOTETomek_aggressive,Hct_max,non_SOFA,-0.00035867453503966585
8_SMOTETomek_aggressive,Hct_std,non_SOFA,8.874524957657725e-05
8_SMOTETomek_aggressive,Hgb_mean,non_SOFA,-0.00031874479619332653
8_SMOTETomek_aggressive,Hgb_min,non_SOFA,0.00034096069459867986
8_SMOTETomek_aggressive,Hgb_max,non_SOFA,-1.659741412348148e-05
8_SMOTETomek_aggressive,Hgb_std,non_SOFA,-0.00013046483991280278
8_SMOTETomek_aggressive,PTT_mean,non_SOFA,0.0002696943986920386
8_SMOTETomek_aggressive,PTT_min,non_SOFA,-7.130719575032529e-05
8_SMOTETomek_aggressive,PTT_max,non_SOFA,-8.484173308109244e-05
8_SMOTETomek_aggressive,PTT_std,non_SOFA,8.939934832064012e-05
8_SMOTETomek_aggressive,WBC_mean,non_SOFA,-0.0003323573135070146
8_SMOTETomek_aggressive,WBC_min,non_SOFA,0.0013444119848490977
8_SMOTETomek_aggressive,WBC_max,non_SOFA,0.0005045025936872005
8_SMOTETomek_aggressive,WBC_std,non_SOFA,7.644983085926538e-05
8_SMOTETomek_aggressive,Fibrinogen_mean,non_SOFA,9.742823609102392e-05
8_SMOTETomek_aggressive,Fibrinogen_min,non_SOFA,-0.0001243418033232968
8_SMOTETomek_aggressive,Fibrinogen_max,non_SOFA,-9.98948720183801e-05
8_SMOTETomek_aggressive,Fibrinogen_std,non_SOFA,-8.42157344661365e-05
8_SMOTETomek_aggressive,Platelets_mean,SOFA_lab_core,8.699293389992091e-05
8_SMOTETomek_aggressive,Platelets_min,SOFA_lab_core,9.035905748981387e-05
