site,model,condition,arm,split,auprc,auroc
B,RF,1_none,lab_indicators_only,9,0.18894864793226102,0.6926930664378143
B,RF,1_none,lab_indicators_only,10,0.26220508361558215,0.811254259180901
B,RF,1_none,lab_indicators_only,11,0.1565556731824993,0.6967964278555999
B,RF,1_none,lab_indicators_only,12,0.23713170145156223,0.7447275237734673
B,RF,1_none,lab_indicators_only,13,0.19074056116973562,0.7075569358178054
B,RF,1_none,lab_indicators_only,14,0.24169220750155704,0.7723604872775096
B,RF,1_none,lab_indicators_only,15,0.20890584933716633,0.7683228292096298
B,RF,1_none,lab_indicators_only,16,0.19018024308074655,0.7363706211166292
B,RF,1_none,lab_indicators_only,17,0.1773715530087539,0.7316103601095695
B,RF,1_none,lab_indicators_only,18,0.18061368572881253,0.6907074578212414
B,RF,1_none,lab_indicators_only,19,0.2355908522534972,0.759465243025757
B,RF,1_none,lab_indicators_only,20,0.17369382327767496,0.7469879518072289
B,RF,1_none,lab_indicators_only,21,0.23810237371235107,0.773812440148765
B,RF,1_none,lab_indicators_only,22,0.2112172030662936,0.7233648085873995
B,RF,1_none,lab_indicators_only,23,0.26614034548954024,0.7376492225012115
B,RF,1_none,lab_indicators_only,24,0.1750119421221204,0.7321924144310824
B,RF,5_SMOTENC,full,0,0.178712652602678,0.7681112620537603
B,RF,5_SMOTENC,full,1,0.1360071825284241,0.6914627085049997
B,RF,5_SMOTENC,full,2,0.1556195560902666,0.710152996459034
B,RF,5_SMOTENC,full,3,0.16144976206310113,0.7371371305228844
B,RF,5_SMOTENC,full,4,0.1410976932740722,0.6749885759504254
B,RF,5_SMOTENC,full,5,0.16631268745946468,0.7383526713137207
B,RF,5_SMOTENC,full,6,0.12797065293168497,0.6652506514041379
B,RF,5_SMOTENC,full,7,0.1603957941376954,0.7288377168563348
B,RF,5_SMOTENC,full,8,0.1681979305533821,0.7521860270472667
B,RF,5_SMOTENC,full,9,0.1251612893594961,0.6573788214839005
B,RF,5_SMOTENC,full,10,0.1721789880183973,0.7600995479143933
B,RF,5_SMOTENC,full,11,0.14108065396293726,0.6877268779368861
B,RF,5_SMOTENC,full,12,0.15770485343798488,0.7238714562501392
B,RF,5_SMOTENC,full,13,0.14338728665536832,0.6699539667856041
B,RF,5_SMOTENC,full,14,0.15023842392965658,0.7215708346800709
B,RF,5_SMOTENC,full,15,0.16123925730361882,0.7227412422332584
B,RF,5_SMOTENC,full,16,0.14444330723222246,0.676096251920807
